GG,RGD1,T1x
671,"['MR_3523_2', 'MR_3523_0']",539
672,[],540
673,[],541
674,"['MR_17284_0', 'MR_10695_1']",8995
675,[],542
676,"['MR_3526_0', 'MR_6497_0']",543
677,[],544
678,['MR_3527_0'],545
679,[],546
680,[],547
681,[],548
682,[],549
683,[],8996
684,[],550
685,[],551
686,[],552
687,[],553
688,[],554
689,[],8997
690,[],555
691,[],556
692,[],557
693,[],558
694,[],559
695,[],560
696,[],561
697,[],562
698,[],563
699,[],564
700,[],565
701,[],566
702,['MR_6611_0'],567
703,[],568
704,[],569
705,[],
706,[],570
707,['MR_334916_0'],571
708,[],572
709,[],8998
710,[],
711,[],573
712,[],574
713,[],575
714,[],576
715,[],577
716,[],578
717,[],579
718,[],580
719,[],8999
720,[],
721,[],581
722,[],582
723,[],9000
724,[],
725,['MR_258773_2'],9001
726,[],583
727,[],584
728,[],585
729,[],586
730,[],587
731,[],
732,[],588
733,[],589
734,[],590
735,[],
736,[],591
737,[],592
738,[],593
739,"['MR_523750_1', 'MR_570931_0']",594
740,[],595
741,[],9002
742,[],596
743,[],597
744,[],598
745,[],599
746,[],9003
747,[],600
748,[],601
749,[],602
750,[],603
751,[],604
752,[],605
753,[],606
754,[],607
755,[],608
756,[],609
757,[],610
758,[],611
759,[],612
760,[],613
761,[],614
762,[],615
763,[],9004
764,[],616
765,[],617
766,[],9005
767,[],618
768,[],619
769,[],9006
770,[],620
771,[],
772,[],621
773,[],622
774,[],623
775,[],624
776,[],625
777,[],626
778,[],627
779,[],
780,[],
781,[],628
782,[],629
783,[],630
784,[],9007
785,[],631
786,[],
787,[],632
788,[],633
789,[],634
790,[],
791,[],635
792,[],
793,[],636
794,[],9008
795,[],637
796,[],638
797,[],639
798,[],9009
799,[],640
800,[],641
801,[],642
802,[],643
803,[],
804,[],
805,[],644
806,[],645
807,[],646
808,[],647
809,"['MR_108580_1', 'MR_49424_1', 'MR_61685_0']",648
810,[],9010
811,[],649
812,[],650
813,[],
814,"['MR_2305_0', 'MR_49424_0']",
815,[],9011
816,[],651
817,[],652
818,[],653
819,[],654
820,[],655
821,[],656
822,[],657
823,[],658
824,[],659
825,[],9012
826,[],660
827,[],661
828,[],662
829,[],
830,[],663
831,[],664
832,[],665
833,[],666
834,[],667
835,[],668
836,[],669
837,[],670
838,[],671
839,[],672
840,[],673
841,[],674
842,[],675
843,[],676
844,[],677
845,[],9013
846,[],678
847,[],679
848,[],
849,[],680
850,[],681
851,[],682
852,[],683
853,[],684
854,[],685
855,[],686
856,[],687
857,[],688
858,[],689
859,[],690
860,[],691
861,[],692
862,[],693
863,[],694
864,[],695
865,[],696
866,[],697
867,[],698
868,[],
869,[],699
870,[],700
871,[],
872,[],701
873,[],9014
874,[],
875,[],702
876,[],703
877,[],
878,[],704
879,[],
880,[],705
881,[],
882,[],
883,[],706
884,[],707
885,[],708
886,[],709
887,[],710
888,[],9015
889,[],711
890,[],712
891,[],713
892,[],714
893,[],715
894,[],716
895,[],717
896,[],718
897,[],719
898,[],720
899,[],
900,[],721
901,[],722
902,[],723
903,[],724
904,[],725
905,[],726
906,[],727
907,[],
908,[],728
909,[],729
910,[],730
911,[],9016
912,[],731
913,[],732
914,[],733
915,[],734
916,[],9017
917,[],735
918,[],736
919,[],737
920,[],738
921,[],
922,[],739
923,[],740
924,[],741
925,['MR_42060_1'],742
926,[],743
927,[],744
928,[],9018
929,[],745
930,[],746
931,[],747
932,[],748
933,[],749
934,[],
935,[],750
936,[],751
937,[],9019
938,[],752
939,[],753
940,[],754
941,[],755
942,[],756
943,[],757
944,[],9020
945,[],758
946,[],759
947,[],9021
948,[],760
949,[],761
950,[],762
951,[],763
952,[],9022
953,[],764
954,[],765
955,['MR_25191_0'],766
956,[],
957,[],767
958,[],768
959,[],769
960,[],770
961,[],771
962,['MR_625450_0'],
963,[],772
964,[],773
965,[],774
966,[],775
967,[],776
968,[],777
969,[],778
970,[],779
971,"['MR_18462_0', 'MR_18459_1', 'MR_18459_0']",780
972,[],9023
973,[],781
974,['MR_103496_1'],782
975,[],783
976,[],784
977,['MR_103497_1'],
978,[],785
979,[],
980,[],786
981,[],787
982,[],788
983,[],789
984,[],
985,[],
986,[],790
987,[],791
988,[],792
989,[],793
990,[],794
991,[],795
992,[],796
993,[],9024
994,[],797
995,[],798
996,[],799
997,[],800
998,[],801
999,[],802
1000,[],
1001,[],
1002,[],803
1003,[],804
1004,[],
1005,[],805
1006,[],806
1007,[],807
1008,[],9025
1009,[],808
1010,[],
1011,[],9026
1012,[],
1013,[],809
1014,[],810
1015,[],811
1016,[],812
1017,[],813
1018,[],
1019,[],814
1020,[],815
1021,[],816
1022,[],9027
1023,[],817
1024,[],818
1025,[],819
1026,[],820
1027,[],821
1028,[],822
1029,[],823
1030,[],824
1031,[],9028
1032,[],825
1033,[],826
1034,[],827
1035,[],828
1036,[],829
1037,[],830
1038,[],831
1039,[],832
1040,[],833
1041,[],834
1042,[],9029
1043,[],835
1044,[],836
1045,[],837
1046,[],838
1047,[],839
1048,[],840
1049,[],841
1050,[],842
1051,[],843
1052,[],844
1053,[],845
1054,[],9030
1055,['MR_19580_1'],9031
1056,"['MR_5790_0', 'MR_589891_1', 'MR_19604_0', 'MR_19604_2', 'MR_134755_2', 'MR_87998_1', 'MR_289306_2', 'MR_134755_0', 'MR_436012_1']",846
1057,[],847
1058,[],848
1059,[],849
1060,[],850
1061,[],851
1062,[],9032
1063,['MR_43799_1'],852
1064,[],853
1065,[],854
1066,[],855
1067,[],856
1068,[],857
1069,[],858
1070,[],859
1071,[],860
1072,[],861
1073,[],862
1074,[],863
1075,[],864
1076,[],865
1077,[],866
1078,[],867
1079,[],868
1080,[],869
1081,[],870
1082,[],
1083,[],871
1084,[],872
1085,[],873
1086,['MR_167519_0'],874
1087,[],875
1088,['MR_167523_0'],876
1089,[],877
1090,"['MR_167521_1', 'MR_648487_1']",
1091,[],878
1092,[],879
1093,[],880
1094,[],9033
1095,[],9034
1096,[],881
1097,[],882
1098,[],883
1099,[],884
1100,[],885
1101,[],886
1102,[],887
1103,[],888
1104,[],889
1105,[],890
1106,[],891
1107,[],
1108,[],
1109,[],892
1110,[],893
1111,[],894
1112,[],
1113,[],
1114,[],
1115,[],895
1116,[],
1117,[],896
1118,[],897
1119,[],
1120,[],898
1121,[],899
1122,[],900
1123,[],
1124,[],901
1125,[],
1126,[],902
1127,[],903
1128,[],904
1129,[],905
1130,[],906
1131,[],907
1132,[],
1133,[],908
1134,[],909
1135,[],910
1136,[],911
1137,[],
1138,[],
1139,[],912
1140,[],913
1141,[],914
1142,[],
1143,[],915
1144,[],9035
1145,[],916
1146,[],917
1147,['MR_9690_0'],918
1148,[],919
1149,[],920
1150,[],921
1151,['MR_9691_0'],922
1152,"['MR_9677_0', 'MR_9677_1']",923
1153,[],924
1154,['MR_9667_0'],925
1155,"['MR_1398_1', 'MR_1398_0', 'MR_94_0']",9036
1156,[],926
1157,[],927
1158,"['MR_7964_0', 'MR_7965_2']",928
1159,[],
1160,[],929
1161,[],930
1162,[],931
1163,[],
1164,[],932
1165,[],
1166,[],933
1167,[],9037
1168,[],934
1169,[],935
1170,[],936
1171,[],937
1172,[],938
1173,[],939
1174,[],940
1175,"['MR_6943_0', 'MR_49644_1', 'MR_6911_1']",941
1176,[],942
1177,[],943
1178,[],9038
1179,[],9039
1180,[],944
1181,[],945
1182,[],
1183,[],946
1184,[],947
1185,[],948
1186,[],949
1187,[],950
1188,[],951
1189,[],952
1190,[],953
1191,[],954
1192,[],955
1193,[],
1194,[],
1195,[],956
1196,[],957
1197,[],
1198,[],958
1199,[],959
1200,[],960
1201,[],
1202,[],961
1203,[],962
1204,[],963
1205,[],964
1206,[],9040
1207,[],965
1208,[],966
1209,[],
1210,[],967
1211,[],968
1212,[],969
1213,[],970
1214,[],971
1215,[],972
1216,[],973
1217,"['MR_27577_1', 'MR_27576_1', 'MR_27576_0']",
1218,[],974
1219,[],975
1220,[],976
1221,[],977
1222,[],
1223,[],978
1224,"['MR_4713_1', 'MR_4713_0']",979
1225,[],980
1226,[],981
1227,[],982
1228,[],983
1229,"['MR_87692_0', 'MR_114883_0']",984
1230,[],985
1231,[],986
1232,[],987
1233,[],988
1234,[],9041
1235,[],989
1236,[],
1237,[],990
1238,[],991
1239,[],992
1240,[],
1241,[],993
1242,[],994
1243,[],
1244,[],995
1245,[],
1246,[],996
1247,[],9042
1248,[],
1249,[],9043
1250,[],997
1251,[],998
1252,[],
1253,[],999
1254,[],1000
1255,[],1001
1256,[],9044
1257,[],1002
1258,[],1003
1259,[],1004
1260,[],1005
1261,[],1006
1262,[],1007
1263,[],1008
1264,[],1009
1265,[],1010
1266,[],
1267,[],1011
1268,[],1012
1269,[],1013
1270,[],1014
1271,[],1015
1272,[],1016
1273,[],1017
1274,[],1018
1275,[],1019
1276,[],1020
1277,[],
1278,[],1021
1279,[],9045
1280,[],
1281,[],1022
1282,[],1023
1283,[],9046
1284,[],1024
1285,[],9047
1286,[],
1287,[],9048
1288,[],1025
1289,[],1026
1290,[],1027
1291,[],1028
1292,[],1029
1293,[],1030
1294,[],1031
1295,[],9049
1296,[],9050
1297,[],9051
1298,[],1032
1299,[],1033
1300,"['MR_7972_0', 'MR_105731_0']",
1301,[],1034
1302,[],1035
1303,[],1036
1304,[],1037
1305,[],1038
1306,[],1039
1307,[],1040
1308,[],1041
1309,[],1042
1310,[],1043
1311,[],1044
1312,[],1045
1313,[],1046
1314,[],
1315,[],
1316,[],9052
1317,[],1047
1318,[],1048
1319,[],1049
1320,[],
1321,[],1050
1322,[],1051
1323,[],1052
1324,[],1053
1325,[],1054
1326,[],1055
1327,['MR_268689_0'],1056
1328,[],1057
1329,['MR_13642_0'],1058
1330,[],1059
1331,[],1060
1332,[],
1333,[],
1334,"['MR_78783_0', 'MR_197436_0']",1061
1335,[],1062
1336,[],1063
1337,[],1064
1338,[],1065
1339,[],1066
1340,[],1067
1341,[],1068
1342,[],9053
1343,[],1069
1344,[],1070
1345,[],1071
1346,[],1072
1347,[],1073
1348,[],1074
1349,[],9054
1350,"['MR_20500_0', 'MR_20500_1']",1075
1351,"['MR_15618_1', 'MR_1046_1', 'MR_20499_1', 'MR_1046_0']",9055
1352,[],1076
1353,[],1077
1354,['MR_14114_2'],9056
1355,[],9057
1356,[],1078
1357,[],
1358,[],1079
1359,[],1080
1360,[],1081
1361,"['MR_14105_0', 'MR_14106_0']",1082
1362,[],1083
1363,[],9058
1364,[],1084
1365,[],1085
1366,[],1086
1367,[],
1368,[],1087
1369,[],
1370,[],9059
1371,[],1088
1372,[],9060
1373,[],1089
1374,[],1090
1375,[],1091
1376,[],1092
1377,[],1093
1378,[],1094
1379,[],1095
1380,[],1096
1381,[],1097
1382,[],1098
1383,[],1099
1384,[],1100
1385,[],1101
1386,[],1102
1387,[],1103
1388,[],1104
1389,[],1105
1390,[],9061
1391,[],1106
1392,[],
1393,[],1107
1394,[],1108
1395,[],1109
1396,[],1110
1397,[],1111
1398,[],1112
1399,[],1113
1400,[],1114
1401,[],1115
1402,"['MR_44391_1', 'MR_159294_1']",1116
1403,"['MR_27333_0', 'MR_42764_0', 'MR_42764_1', 'MR_27333_1', 'MR_1737_0', 'MR_1797_0']",1117
1404,[],1118
1405,[],1119
1406,[],1120
1407,['MR_27344_0'],1121
1408,[],9062
1409,[],1122
1410,[],1123
1411,[],9063
1412,[],
1413,[],1124
1414,"['MR_42770_2', 'MR_42770_0']",9064
1415,[],
1416,[],1125
1417,[],9065
1418,[],1126
1419,"['MR_42762_0', 'MR_123903_0']",9066
1420,[],9067
1421,[],1127
1422,[],1128
1423,[],1129
1424,[],9068
1425,[],1130
1426,[],1131
1427,[],1132
1428,[],1133
1429,[],1134
1430,[],1135
1431,[],
1432,"['MR_10681_1', 'MR_10681_0']",1136
1433,"['MR_19134_0', 'MR_10675_1', 'MR_19134_1']",1137
1434,[],1138
1435,[],9069
1436,[],1139
1437,"['MR_1880_1', 'MR_1880_2', 'MR_1880_0', 'MR_10690_2', 'MR_41142_1', 'MR_10690_0']",1140
1438,[],
1439,"['MR_1879_0', 'MR_1879_2']",1141
1440,[],1142
1441,[],1143
1442,[],1144
1443,[],1145
1444,[],1146
1445,[],1147
1446,[],1148
1447,['MR_219570_1'],
1448,[],1149
1449,[],1150
1450,[],1151
1451,[],1152
1452,[],1153
1453,[],1154
1454,[],1155
1455,[],1156
1456,[],1157
1457,[],1158
1458,[],1159
1459,[],1160
1460,[],1161
1461,[],1162
1462,[],1163
1463,[],
1464,[],1164
1465,[],1165
1466,[],1166
1467,[],
1468,[],1167
1469,[],1168
1470,[],1169
1471,[],
1472,[],1170
1473,['MR_17887_1'],1171
1474,[],
1475,[],
1476,[],1172
1477,[],1173
1478,[],1174
1479,[],9070
1480,[],1175
1481,[],1176
1482,[],1177
1483,[],1178
1484,[],1179
1485,[],1180
1486,[],1181
1487,[],1182
1488,[],1183
1489,[],1184
1490,[],1185
1491,[],1186
1492,[],1187
1493,[],1188
1494,[],1189
1495,[],1190
1496,[],9071
1497,[],1191
1498,[],1192
1499,[],1193
1500,[],1194
1501,[],1195
1502,[],1196
1503,[],1197
1504,[],9072
1505,[],1198
1506,[],1199
1507,[],1200
1508,[],1201
1509,[],1202
1510,[],1203
1511,[],1204
1512,[],1205
1513,[],1206
1514,[],
1515,[],
1516,[],1207
1517,[],1208
1518,[],1209
1519,[],1210
1520,[],
1521,[],1211
1522,[],1212
1523,[],
1524,[],1213
1525,[],1214
1526,[],1215
1527,[],1216
1528,[],
1529,[],1217
1530,[],9073
1531,[],1218
1532,[],1219
1533,[],1220
1534,[],9074
1535,[],1221
1536,[],1222
1537,[],
1538,[],1223
1539,[],1224
1540,"['MR_3078_2', 'MR_3078_0']",1225
1541,[],1226
1542,['MR_181433_0'],
1543,[],1227
1544,[],1228
1545,[],9075
1546,[],
1547,[],1229
1548,[],1230
1549,[],
1550,[],
1551,[],1231
1552,[],1232
1553,[],1233
1554,[],1234
1555,[],1235
1556,[],1236
1557,[],1237
1558,[],
1559,[],1238
1560,[],
1561,[],1239
1562,[],1240
1563,[],
1564,[],1241
1565,[],1242
1566,[],9076
1567,[],
1568,[],1243
1569,[],1244
1570,[],1245
1571,[],1246
1572,[],1247
1573,[],
1574,[],1248
1575,[],1249
1576,[],9077
1577,[],
1578,[],
1579,[],1250
1580,[],1251
1581,[],
1582,[],
1583,[],1252
1584,[],1253
1585,[],1254
1586,[],1255
1587,[],9078
1588,[],1256
1589,[],1257
1590,[],1258
1591,[],1259
1592,[],1260
1593,[],1261
1594,[],1262
1595,[],1263
1596,[],
1597,[],1264
1598,[],1265
1599,[],1266
1600,[],
1601,[],1267
1602,[],1268
1603,[],
1604,[],1269
1605,[],1270
1606,[],
1607,[],1271
1608,[],1272
1609,[],1273
1610,['MR_77972_0'],
1611,"['MR_77965_0', 'MR_422453_0']",
1612,[],
1613,[],9079
1614,['MR_1053_1'],1274
1615,[],1275
1616,"['MR_300203_1', 'MR_8312_0', 'MR_300203_0', 'MR_8312_1']",
1617,[],
1618,[],1276
1619,['MR_371358_0'],
1620,['MR_300205_0'],
1621,[],9080
1622,[],1277
1623,[],
1624,[],
1625,[],1278
1626,[],
1627,[],
1628,[],1279
1629,[],1280
1630,[],1281
1631,[],1282
1632,[],1283
1633,[],
1634,['MR_52686_0'],1284
1635,[],
1636,[],1285
1637,[],
1638,[],1286
1639,[],1287
1640,[],1288
1641,[],1289
1642,[],1290
1643,[],1291
1644,[],1292
1645,[],1293
1646,[],1294
1647,[],1295
1648,[],1296
1649,[],1297
1650,[],1298
1651,[],1299
1652,[],1300
1653,[],1301
1654,[],1302
1655,[],
1656,[],
1657,[],1303
1658,[],1304
1659,[],1305
1660,[],9081
1661,[],1306
1662,[],
1663,[],1307
1664,[],1308
1665,[],1309
1666,[],1310
1667,[],1311
1668,"['MR_20889_2', 'MR_20889_0']",1312
1669,"['MR_20892_2', 'MR_20892_0']",1313
1670,[],1314
1671,"['MR_11247_1', 'MR_11248_0', 'MR_589847_0', 'MR_81535_0']",1315
1672,['MR_612082_2'],1316
1673,[],1317
1674,[],
1675,[],1318
1676,[],1319
1677,[],1320
1678,[],1321
1679,[],9082
1680,[],
1681,[],1322
1682,[],
1683,[],
1684,[],
1685,[],
1686,[],9083
1687,[],1323
1688,[],1324
1689,"['MR_65489_0', 'MR_234637_0']",1325
1690,[],
1691,[],
1692,[],1326
1693,[],1327
1694,[],
1695,[],1328
1696,[],1329
1697,[],
1698,[],1330
1699,[],9084
1700,[],
1701,[],1331
1702,[],
1703,[],1332
1704,[],1333
1705,['MR_2497_0'],
1706,[],1334
1707,[],1335
1708,[],1336
1709,[],
1710,[],1337
1711,[],
1712,[],1338
1713,[],9085
1714,[],1339
1715,[],
1716,[],1340
1717,[],1341
1718,[],1342
1719,[],1343
1720,[],1344
1721,[],1345
1722,[],1346
1723,[],1347
1724,[],1348
1725,[],1349
1726,[],1350
1727,[],1351
1728,[],9086
1729,[],
1730,[],1352
1731,[],1353
1732,[],1354
1733,[],9087
1734,[],1355
1735,[],1356
1736,[],1357
1737,[],
1738,[],
1739,[],
1740,[],1358
1741,[],9088
1742,[],1359
1743,[],1360
1744,[],
1745,[],1361
1746,[],1362
1747,[],1363
1748,[],1364
1749,[],9089
1750,[],1365
1751,[],1366
1752,[],
1753,[],
1754,[],1367
1755,[],9090
1756,[],1368
1757,[],1369
1758,[],1370
1759,[],1371
1760,[],9091
1761,[],1372
1762,[],1373
1763,[],1374
1764,[],1375
1765,[],1376
1766,[],1377
1767,[],
1768,[],1378
1769,[],1379
1770,[],1380
1771,[],9092
1772,[],1381
1773,[],
1774,[],1382
1775,[],
1776,[],
1777,[],
1778,[],1383
1779,[],1384
1780,[],
1781,[],1385
1782,[],1386
1783,[],1387
1784,[],
1785,[],1388
1786,[],1389
1787,[],1390
1788,[],1391
1789,[],9093
1790,['MR_104944_0'],1392
1791,[],1393
1792,[],1394
1793,[],1395
1794,[],1396
1795,[],9094
1796,[],1397
1797,[],1398
1798,[],9095
1799,[],
1800,[],9096
1801,[],1399
1802,[],1400
1803,[],1401
1804,[],1402
1805,[],1403
1806,[],1404
1807,[],
1808,[],1405
1809,[],1406
1810,[],1407
1811,[],1408
1812,[],1409
1813,[],1410
1814,[],
1815,[],
1816,[],
1817,[],
1818,[],
1819,[],1411
1820,[],
1821,[],1412
1822,[],
1823,[],1413
1824,[],1414
1825,[],1415
1826,[],1416
1827,[],1417
1828,[],1418
1829,['MR_51702_0'],1419
1830,[],1420
1831,[],1421
1832,[],1422
1833,[],9097
1834,[],1423
1835,[],1424
1836,[],1425
1837,[],1426
1838,[],1427
1839,[],1428
1840,[],1429
1841,['MR_62541_0'],1430
1842,[],1431
1843,[],1432
1844,[],
1845,[],1433
1846,[],1434
1847,[],1435
1848,[],1436
1849,[],1437
1850,[],1438
1851,[],1439
1852,[],1440
1853,[],1441
1854,[],1442
1855,[],1443
1856,[],9098
1857,[],1444
1858,[],1445
1859,[],
1860,[],9099
1861,[],1446
1862,[],9100
1863,[],1447
1864,[],1448
1865,[],1449
1866,[],
1867,[],1450
1868,[],
1869,[],1451
1870,[],1452
1871,[],1453
